PositionQuantity,AvgPrice,Return,Capital,MarketPrice
4.0,274.1735517414215,1097.6011962890625,99120.6682434082,274.6199951171875
2.0,274.1735517414215,549.239990234375,99669.90823364258,274.44378662109375
1.0,274.1735517414215,274.44378662109375,99944.35202026367,274.5199890136719
0.0,0.0,274.5199890136719,100218.87200927734,274.44500732421875
0.0,0.0,0.0,100218.87200927734,274.3500061035156
0.0,0.0,0.0,100218.87200927734,274.42999267578125
0.0,0.0,0.0,100218.87200927734,274.42498779296875
0.0,0.0,0.0,100218.87200927734,274.3550109863281
0.0,0.0,0.0,100218.87200927734,274.3800048828125
0.0,0.0,0.0,100218.87200927734,274.29998779296875
0.0,0.0,0.0,100218.87200927734,274.235595703125
0.0,0.0,0.0,100218.87200927734,274.2699890136719
0.0,0.0,0.0,100218.87200927734,274.260009765625
27.0,274.260009765625,-7405.020263671875,92813.85174560547,274.29998779296875
52.0,274.27922997107873,-6857.499694824219,85956.35205078125,274.364990234375
75.0,274.30552978515624,-6310.394775390625,79645.95727539062,274.3699951171875
96.0,274.3196315765381,-5761.7698974609375,73884.18737792969,274.5400085449219
48.0,274.3196315765381,13177.92041015625,87062.10778808594,274.5050048828125
24.0,274.3196315765381,6588.1201171875,93650.22790527344,274.4800109863281
12.0,274.3196315765381,3293.7601318359375,96943.98803710938,274.5
6.0,274.3196315765381,1647.0,98590.98803710938,274.3999938964844
3.0,274.3196315765381,823.1999816894531,99414.18801879883,274.35198974609375
1.0,274.3196315765381,548.7039794921875,99962.89199829102,274.5199890136719
0.0,0.0,274.5199890136719,100237.41198730469,274.4599914550781
0.0,0.0,0.0,100237.41198730469,274.5299987792969
0.0,0.0,0.0,100237.41198730469,274.60101318359375
0.0,0.0,0.0,100237.41198730469,274.6755065917969
0.0,0.0,0.0,100237.41198730469,274.69000244140625
0.0,0.0,0.0,100237.41198730469,274.5950012207031
0.0,0.0,0.0,100237.41198730469,274.4800109863281
0.0,0.0,0.0,100237.41198730469,274.57501220703125
0.0,0.0,0.0,100237.41198730469,274.66400146484375
0.0,0.0,0.0,100237.41198730469,274.5899963378906
0.0,0.0,0.0,100237.41198730469,274.68548583984375
0.0,0.0,0.0,100237.41198730469,274.6099853515625
0.0,0.0,0.0,100237.41198730469,274.6300048828125
0.0,0.0,0.0,100237.41198730469,274.6300048828125
0.0,0.0,0.0,100237.41198730469,274.6099853515625
0.0,0.0,0.0,100237.41198730469,274.54998779296875
0.0,0.0,0.0,100237.41198730469,274.4750061035156
0.0,0.0,0.0,100237.41198730469,274.5
27.0,274.5,-7411.5,92825.91198730469,274.45001220703125
52.0,274.47596740722656,-6861.250305175781,85964.6616821289,274.42999267578125
75.0,274.4618684895833,-6311.889831542969,79652.77185058594,274.5899963378906
96.0,274.4898964564006,-5766.389923095703,73886.38192749023,274.67999267578125
116.0,274.5226716666386,-5493.599853515625,68392.78207397461,274.7699890136719
58.0,274.5226716666386,15936.659362792969,84329.44143676758,274.7300109863281
29.0,274.5226716666386,7967.170318603516,92296.6117553711,274.739990234375
14.0,274.5226716666386,4121.099853515625,96417.71160888672,274.739990234375
7.0,274.5226716666386,1923.179931640625,98340.89154052734,274.8299865722656
3.0,274.5226716666386,1099.3199462890625,99440.2114868164,274.8299865722656
1.0,274.5226716666386,549.6599731445312,99989.87145996094,274.9100036621094
0.0,0.0,274.9100036621094,100264.78146362305,274.7900085449219
0.0,0.0,0.0,100264.78146362305,274.81500244140625
0.0,0.0,0.0,100264.78146362305,274.6700134277344
0.0,0.0,0.0,100264.78146362305,274.5213928222656
0.0,0.0,0.0,100264.78146362305,274.5950012207031
0.0,0.0,0.0,100264.78146362305,274.5
27.0,274.5,-7411.5,92853.28146362305,274.5050048828125
52.0,274.50240619365985,-6862.6251220703125,85990.65634155273,274.54998779296875
75.0,274.5169978841146,-6314.649719238281,79676.00662231445,274.6000061035156
96.0,274.5351559321086,-5766.600128173828,73909.40649414062,274.5950012207031
116.0,274.54547408531454,-5491.9000244140625,68417.50646972656,274.29998779296875
134.0,274.5124983147009,-4937.3997802734375,63480.106689453125,274.3999938964844
151.0,274.4998322543719,-4664.799896240234,58815.30679321289,274.4100036621094
167.0,274.49122592217907,-4390.56005859375,54424.74673461914,274.43499755859375
181.0,274.4868767669846,-3842.0899658203125,50582.65676879883,274.3446044921875
194.0,274.4773430578487,-3566.4798583984375,47016.17691040039,274.3290100097656
206.0,274.4687022977662,-3291.9481201171875,43724.2287902832,274.2799987792969
217.0,274.45913668162257,-3017.0799865722656,40707.14880371094,274.2449951171875
228.0,274.44880529035595,-3016.6949462890625,37690.453857421875,274.31500244140625
238.0,274.44318332191267,-2743.1500244140625,34947.30383300781,274.2699890136719
247.0,274.43687259813055,-2468.429901123047,32478.873931884766,274.30499267578125
255.0,274.432735188802,-2194.43994140625,30284.433990478516,274.31988525390625
263.0,274.42930249116256,-2194.55908203125,28089.874908447266,274.25531005859375
270.0,274.4247915762441,-1919.7871704101562,26170.08773803711,274.2699890136719
277.0,274.4208795981286,-1919.8899230957031,24250.197814941406,274.2550048828125
283.0,274.41736281971197,-1645.530029296875,22604.66778564453,274.2900085449219
289.0,274.4147187863253,-1645.7400512695312,20958.927734375,274.2300109863281
294.0,274.4115774972097,-1371.1500549316406,19587.77767944336,274.239990234375
299.0,274.40870814498834,-1371.199951171875,18216.577728271484,273.8999938964844
303.0,274.4019924453381,-1095.5999755859375,17120.977752685547,273.9200134277344
307.0,274.39571258843125,-1095.6800537109375,16025.29769897461,274.1099853515625
311.0,274.3920376400471,-1096.43994140625,14928.85775756836,273.9949951171875
315.0,274.386995830233,-1095.97998046875,13832.87777709961,273.94000244140625
318.0,274.3827789114705,-821.8200073242188,13011.05776977539,273.8699951171875
321.0,274.3779865395613,-821.6099853515625,12189.447784423828,273.760009765625
324.0,274.3722645323952,-821.280029296875,11368.167755126953,273.82000732421875
327.0,274.3671979525037,-821.4600219726562,10546.707733154297,273.7049865722656
329.0,274.3631723514081,-547.4099731445312,9999.297760009766,273.6650085449219
331.0,274.3589538389822,-547.3300170898438,9451.967742919922,273.54998779296875
333.0,274.3540951840512,-547.0999755859375,8904.867767333984,273.5199890136719
335.0,274.3491154457206,-547.0399780273438,8357.82778930664,273.4549865722656
337.0,274.3438090429108,-546.9099731445312,7810.917816162109,273.43499755859375
339.0,274.3384473232393,-546.8699951171875,7264.047821044922,273.2900085449219
340.0,274.33536367977365,-273.2900085449219,6990.7578125,273.3500061035156
341.0,274.3324740681131,-273.3500061035156,6717.407806396484,273.44061279296875
342.0,274.32986628660683,-273.44061279296875,6443.967193603516,273.55999755859375
343.0,274.3276217713648,-273.55999755859375,6170.407196044922,273.5799865722656
344.0,274.32544841322795,-273.5799865722656,5896.827209472656,273.5350036621094
345.0,274.3231572690218,-273.5350036621094,5623.292205810547,273.5899963378906
346.0,274.3210383067931,-273.5899963378906,5349.702209472656,273.4750061035156
347.0,274.31860017364244,-273.4750061035156,5076.227203369141,273.6099853515625
348.0,274.3165639241537,-273.6099853515625,4802.617218017578,273.6449890136719
349.0,274.31463964074254,-273.6449890136719,4528.972229003906,273.5450134277344
350.0,274.31244070870537,-273.5450134277344,4255.427215576172,273.6000061035156
351.0,274.31041098048547,-273.6000061035156,3981.8272094726562,273.7025146484375
352.0,274.30868400226944,-273.7025146484375,3708.1246948242188,273.5899963378906
176.0,274.30868400226944,48151.83935546875,51859.96405029297,273.7449951171875
88.0,274.30868400226944,24089.5595703125,75949.52362060547,273.7799987792969
44.0,274.30868400226944,12046.319946289062,87995.84356689453,273.69000244140625
22.0,274.30868400226944,6021.1800537109375,94017.02362060547,273.8550109863281
11.0,274.30868400226944,3012.4051208496094,97029.42874145508,273.8901062011719
5.0,274.30868400226944,1643.3406372070312,98672.76937866211,273.80499267578125
2.0,274.30868400226944,821.4149780273438,99494.18435668945,273.7049865722656
1.0,274.30868400226944,273.7049865722656,99767.88934326172,273.510009765625
0.0,0.0,273.510009765625,100041.39935302734,273.6700134277344
0.0,0.0,0.0,100041.39935302734,273.7099914550781
0.0,0.0,0.0,100041.39935302734,273.75
0.0,0.0,0.0,100041.39935302734,273.75
0.0,0.0,0.0,100041.39935302734,273.7200012207031
0.0,0.0,0.0,100041.39935302734,273.8299865722656
0.0,0.0,0.0,100041.39935302734,273.8900146484375
0.0,0.0,0.0,100041.39935302734,273.8450012207031
0.0,0.0,0.0,100041.39935302734,273.75
0.0,0.0,0.0,100041.39935302734,273.67999267578125
0.0,0.0,0.0,100041.39935302734,273.69000244140625
0.0,0.0,0.0,100041.39935302734,273.79998779296875
0.0,0.0,0.0,100041.39935302734,273.8299865722656
0.0,0.0,0.0,100041.39935302734,273.80499267578125
0.0,0.0,0.0,100041.39935302734,273.82501220703125
0.0,0.0,0.0,100041.39935302734,274.04998779296875
0.0,0.0,0.0,100041.39935302734,274.0801086425781
0.0,0.0,0.0,100041.39935302734,274.1300048828125
0.0,0.0,0.0,100041.39935302734,274.05999755859375
0.0,0.0,0.0,100041.39935302734,273.92498779296875
0.0,0.0,0.0,100041.39935302734,274.05999755859375
0.0,0.0,0.0,100041.39935302734,274.04998779296875
0.0,0.0,0.0,100041.39935302734,273.9750061035156
0.0,0.0,0.0,100041.39935302734,273.9700927734375
0.0,0.0,0.0,100041.39935302734,274.135009765625
0.0,0.0,0.0,100041.39935302734,274.20001220703125
0.0,0.0,0.0,100041.39935302734,274.239990234375
0.0,0.0,0.0,100041.39935302734,274.2349853515625
0.0,0.0,0.0,100041.39935302734,274.25
0.0,0.0,0.0,100041.39935302734,274.4949951171875
0.0,0.0,0.0,100041.39935302734,274.5950012207031
0.0,0.0,0.0,100041.39935302734,274.6600036621094
0.0,0.0,0.0,100041.39935302734,274.55999755859375
0.0,0.0,0.0,100041.39935302734,274.5801086425781
0.0,0.0,0.0,100041.39935302734,274.4750061035156
0.0,0.0,0.0,100041.39935302734,274.260009765625
0.0,0.0,0.0,100041.39935302734,274.2200012207031
0.0,0.0,0.0,100041.39935302734,274.17999267578125
0.0,0.0,0.0,100041.39935302734,274.17999267578125
0.0,0.0,0.0,100041.39935302734,274.7200012207031
0.0,0.0,0.0,100041.39935302734,275.32989501953125
0.0,0.0,0.0,100041.39935302734,274.8800048828125
0.0,0.0,0.0,100041.39935302734,274.4599914550781
0.0,0.0,0.0,100041.39935302734,274.7550048828125
0.0,0.0,0.0,100041.39935302734,273.9599914550781
0.0,0.0,0.0,100041.39935302734,273.2409973144531
27.0,273.2409973144531,-7377.506927490234,92663.89242553711,273.6000061035156
52.0,273.4135976938101,-6840.000152587891,85823.89227294922,273.75799560546875
